,Date,Count
0,2022-11-10,4
1,2022-11-11,5
2,2022-11-13,1
3,2022-11-14,5
4,2022-11-15,6
5,2022-11-16,8
6,2022-11-17,5
7,2022-11-18,4
8,2022-11-19,1
9,2022-11-20,3
10,2022-11-21,5
11,2022-11-22,2
12,2022-11-24,1
13,2022-11-25,3
14,2022-11-26,1
15,2022-11-27,1
16,2022-11-28,2
17,2022-11-29,2
18,2022-11-30,5
19,2022-12-01,3
20,2022-12-02,2
21,2022-12-05,2
22,2022-12-06,2
23,2022-12-07,1
24,2022-12-08,4
25,2022-12-09,5
26,2022-12-12,2
27,2022-12-13,3
28,2022-12-14,2
29,2022-12-15,3
30,2022-12-16,5
31,2022-12-17,1
32,2022-12-18,1
33,2022-12-19,5
34,2022-12-20,2
35,2022-12-21,7
36,2022-12-22,5
37,2022-12-23,4
38,2022-12-28,4
39,2022-12-29,2
40,2022-12-30,6
41,2022-12-31,2
42,2023-01-02,3
43,2023-01-03,6
44,2023-01-04,9
45,2023-01-05,6
46,2023-01-06,11
47,2023-01-07,1
48,2023-01-08,1
49,2023-01-09,6
50,2023-01-10,6
51,2023-01-11,2
52,2023-01-12,3
53,2023-01-13,5
54,2023-01-14,1
55,2023-01-15,1
56,2023-01-16,1
57,2023-01-17,8
58,2023-01-18,6
59,2023-01-19,3
60,2023-01-20,4
61,2023-01-21,3
62,2023-01-22,2
63,2023-01-23,4
64,2023-01-24,3
65,2023-01-25,3
66,2023-01-26,10
67,2023-01-27,5
68,2023-01-30,3
69,2023-01-31,3
70,2023-02-01,1
71,2023-02-02,2
72,2023-02-03,2
73,2023-02-04,2
74,2023-02-05,4
75,2023-02-06,1
76,2023-02-07,1
77,2023-02-08,1
78,2023-02-09,2
